Time CPU_mW GPU_mW Total_mW
0 457 0 457
10 326 0 326
20 523 0 523
30 390 0 390
40 258 0 258
50 386 0 386
60 248 0 248
70 252 0 252
80 244 0 244
90 306 0 306
100 245 0 245
110 175 0 175
120 296 0 296
130 171 0 171
140 230 0 230
150 173 0 173
160 230 0 230
170 219 0 219
180 166 0 166
190 165 0 165
200 215 0 215
210 160 0 160
220 156 0 156
230 154 0 154
240 209 0 209
250 162 0 162
260 206 0 206
270 102 0 102
280 150 0 150
290 282 0 282
300 210 0 210
310 163 0 163
320 261 0 261
330 160 0 160
340 269 0 269
350 366 0 366
360 863 0 863
370 1313 0 1313
380 565 0 565
390 181 0 181
400 484 0 484
410 292 0 292
420 327 0 327
430 236 0 236
440 284 0 284
450 169 0 169
460 326 0 326
470 276 0 276
480 326 0 326
490 269 0 269
500 163 0 163
510 273 0 273
520 217 0 217
530 207 0 207
540 269 0 269
550 253 0 253
560 157 0 157
570 316 0 316
580 318 0 318
590 257 0 257
600 358 0 358
610 210 0 210
620 213 0 213
630 204 0 204
640 566 0 566
650 322 0 322
660 468 0 468
670 158 0 158
680 382 0 382
690 321 0 321
700 327 0 327
710 319 0 319
720 534 0 534
730 649 0 649
740 632 0 632
750 843 0 843
760 263 0 263
770 266 0 266
780 379 0 379
790 214 0 214
800 164 0 164
810 267 0 267
820 485 0 485
830 269 0 269
840 459 0 459
850 475 0 475
860 619 0 619
870 367 0 367
880 1005 0 1005
890 750 0 750
900 969 0 969
910 761 0 761
920 1259 0 1259
930 1802 0 1802
940 342 0 342
950 308 0 308
960 528 0 528
970 653 0 653
980 748 0 748
990 682 0 682
1000 428 0 428
1010 889 0 889
1020 1062 53 1115
1030 1255 0 1255
1040 1409 0 1409
1050 2112 0 2112
1060 2704 0 2704
1070 1289 0 1289
1080 2746 0 2746
1090 657 0 657
1100 444 0 444
1110 1065 0 1065
1120 333 0 333
1130 485 0 485
1140 212 0 212
1150 215 0 215
1160 261 0 261
1170 309 0 309
1180 210 0 210
1190 455 0 455
1200 380 0 380
1210 258 0 258
1220 216 0 216
1230 274 0 274
1240 364 0 364
1250 427 0 427
1260 340 0 340
1270 227 0 227
1280 225 0 225
1290 279 0 279
1300 399 0 399
1310 401 0 401
1320 583 0 583
1330 803 0 803
1340 1089 0 1089
1350 1789 0 1789
1360 2700 0 2700
1370 2234 0 2234
1380 1891 0 1891
1390 1248 0 1248
1400 505 0 505
1410 2647 0 2647
1420 2056 0 2056
1430 2349 0 2349
1440 3493 0 3493
1450 2520 0 2520
1460 2224 0 2224
1470 240 0 240
1480 201 0 201
1490 379 0 379
1500 369 0 369
1510 207 0 207
1520 267 0 267
1530 348 0 348
1540 367 0 367
1550 422 0 422
1560 1114 0 1114
1570 1298 0 1298
1580 1383 0 1383
1590 431 0 431
1600 451 0 451
1610 269 0 269
1620 350 0 350
1630 157 0 157
1640 665 0 665
1650 807 0 807
1660 694 0 694
1670 1493 0 1493
1680 1682 0 1682
1690 2074 0 2074
1700 1809 0 1809
1710 354 0 354
1720 156 0 156
1730 441 0 441
1740 268 0 268
1750 214 0 214
1760 417 0 417
1770 868 0 868
1780 1067 0 1067
1790 1701 0 1701
1800 1618 0 1618
1810 3584 0 3584
1820 3184 0 3184
1830 1141 0 1141
1840 275 0 275
1850 619 0 619
1860 606 0 606
1870 501 0 501
1880 1763 0 1763
