Time CPU_mW GPU_mW Total_mW
0 689 0 689
10 467 0 467
20 416 0 416
30 246 0 246
40 446 0 446
50 313 0 313
60 311 0 311
70 247 0 247
80 301 0 301
90 292 0 292
100 292 0 292
110 225 0 225
120 341 0 341
130 226 0 226
140 340 0 340
150 219 0 219
160 276 0 276
170 164 0 164
180 274 0 274
190 269 0 269
200 253 0 253
210 313 0 313
220 209 0 209
230 206 0 206
240 193 0 193
250 299 0 299
260 729 0 729
270 1998 0 1998
280 4005 0 4005
290 5115 0 5115
300 7706 0 7706
310 10475 0 10475
320 4118 0 4118
330 451 0 451
340 324 0 324
350 465 0 465
360 378 0 378
370 322 0 322
380 309 0 309
390 308 0 308
400 311 0 311
410 300 0 300
420 300 0 300
430 352 0 352
440 388 0 388
450 1031 0 1031
460 1772 0 1772
470 1674 0 1674
480 2350 0 2350
490 4036 0 4036
500 5113 0 5113
510 5510 0 5510
520 4388 0 4388
530 3826 0 3826
540 3936 0 3936
550 4450 0 4450
560 4628 0 4628
570 4429 0 4429
580 4615 0 4615
590 4593 0 4593
600 4592 0 4592
610 4644 0 4644
620 4217 0 4217
630 4506 0 4506
640 4026 0 4026
650 4626 0 4626
660 4606 0 4606
670 4647 0 4647
680 4542 0 4542
690 2510 0 2510
700 537 0 537
710 664 0 664
720 725 0 725
730 552 0 552
740 710 0 710
750 900 0 900
760 626 0 626
770 367 0 367
780 420 0 420
790 477 0 477
800 341 0 341
810 395 0 395
820 389 0 389
830 651 0 651
840 272 0 272
850 384 0 384
860 321 0 321
870 635 0 635
880 772 0 772
890 312 0 312
900 363 0 363
910 305 0 305
920 556 0 556
930 677 0 677
940 1292 0 1292
950 489 0 489
960 643 0 643
970 980 0 980
980 471 0 471
990 702 0 702
1000 404 0 404
1010 362 0 362
1020 373 0 373
1030 540 0 540
1040 539 0 539
1050 353 0 353
1060 304 0 304
1070 408 0 408
1080 372 0 372
1090 533 0 533
1100 477 0 477
1110 308 0 308
1120 408 0 408
1130 357 0 357
1140 423 0 423
1150 518 0 518
1160 582 0 582
1170 360 0 360
1180 478 0 478
1190 423 0 423
1200 380 0 380
1210 478 0 478
1220 436 0 436
1230 356 0 356
1240 414 0 414
1250 358 0 358
1260 358 0 358
1270 312 0 312
1280 467 0 467
1290 366 0 366
1300 356 0 356
1310 455 0 455
1320 428 0 428
1330 527 0 527
1340 450 0 450
1350 359 0 359
1360 364 0 364
1370 479 0 479
1380 370 0 370
1390 375 0 375
1400 369 0 369
1410 532 0 532
1420 475 0 475
1430 409 0 409
1440 355 0 355
1450 353 0 353
1460 358 0 358
1470 412 0 412
1480 361 0 361
1490 314 0 314
1500 366 0 366
1510 307 0 307
1520 310 0 310
1530 311 0 311
1540 357 0 357
1550 410 0 410
1560 355 0 355
1570 409 0 409
1580 416 0 416
1590 475 0 475
1600 521 0 521
1610 626 0 626
1620 462 0 462
1630 553 0 553
1640 1218 0 1218
1650 1231 0 1231
1660 1865 0 1865
1670 2040 105 2145
1680 3435 164 3598
1690 4769 181 4950
1700 5185 112 5297
1710 4221 0 4221
1720 3156 124 3279
1730 2379 122 2501
1740 2182 249 2431
1750 3135 192 3326
1760 5205 257 5462
1770 2553 327 2880
1780 1439 411 1851
1790 1635 131 1766
1800 895 128 1022
1810 1228 129 1357
1820 880 0 880
1830 927 124 1051
1840 849 182 1031
1850 862 185 1046
1860 770 178 948
1870 695 174 869
1880 1041 289 1330
1890 817 117 933
1900 883 110 994
1910 847 113 959
1920 745 149 893
1930 1259 164 1424
1940 1523 169 1693
1950 1872 175 2047
1960 2765 369 3133
1970 3559 0 3559
1980 3248 354 3603
1990 2443 159 2603
2000 1308 187 1495
2010 4116 0 4116
2020 5776 0 5776
2030 6499 161 6660
2040 4606 0 4606
2050 5004 0 5004
2060 7992 0 7992
2070 9526 0 9526
2080 9140 48 9188
2090 8438 395 8833
2100 7635 58 7693
2110 6863 129 6992
2120 8252 250 8502
2130 7412 383 7796
2140 8923 130 9054
2150 7833 120 7952
2160 5354 0 5354
2170 5637 63 5701
2180 5114 115 5229
2190 3115 0 3115
2200 3353 131 3485
2210 3429 0 3429
2220 5029 0 5029
2230 3828 0 3828
2240 3126 0 3126
