Time CPU_mW GPU_mW Total_mW
14:09:03.836 4296 130 4556
14:09:03.844 2544 182 2726
14:09:03.852 3210 128 3403
14:09:03.860 3049 254 3303
14:09:03.867 1955 118 2073
14:09:03.874 3374 245 3619
14:09:03.881 3251 133 3384
14:09:03.900 5051 194 5310
14:09:03.906 3804 190 3994
14:09:03.913 7412 387 7799
14:09:03.920 3273 64 3337
14:09:03.927 5620 331 6149
14:09:03.936 1359 0 1359
14:09:03.975 5502 324 5891
14:09:04.003 1579 61 1640
14:09:04.038 1902 231 2133
14:09:04.045 3204 126 3330
14:09:04.053 1962 61 2023
14:09:04.061 2707 301 3008
14:09:04.068 1287 61 1410

HTTP_START 14:09:02.805
HTTP_END 14:09:03.106
