Time CPU_mW GPU_mW Total_mW
0 2694 0 2694
10 2596 0 2596
20 2715 0 2715
30 3464 0 3464
40 4130 0 4130
50 4313 0 4313
60 3930 0 3930
70 4139 0 4139
80 4287 0 4287
90 4296 0 4296
100 4505 265 4770
110 4754 0 4754
120 4370 129 4498
130 4589 197 4786
140 4727 133 4861
150 3675 170 3845
160 1278 58 1336
170 1171 98 1269
180 901 120 1022
190 1033 109 1142
200 724 278 1002
210 797 0 797
220 607 0 607
230 642 0 642
240 736 0 736
250 834 0 834
260 523 0 523
270 667 0 667
280 1673 0 1673
290 2323 0 2323
300 3326 181 3508
310 1615 186 1801
320 1238 0 1238
330 1280 0 1280
340 1222 0 1222
350 1248 0 1248
360 1360 0 1360
370 1368 0 1368
380 1699 0 1699
390 1279 0 1279
400 2495 0 2495
410 3157 0 3157
420 3019 0 3019
430 2987 0 2987
440 2279 0 2279
450 1125 0 1125
460 1719 0 1719
470 1993 0 1993
480 858 0 858
490 1561 0 1561
500 1061 0 1061
510 1809 0 1809
520 1973 0 1973
530 2149 0 2149
540 1955 0 1955
550 2321 0 2321
560 1261 0 1261
570 2171 0 2171
580 2216 0 2216
590 2218 0 2218
600 1443 0 1443
610 1887 0 1887
620 1644 0 1644
630 1157 0 1157
640 1650 0 1650
650 865 0 865
660 409 0 409
670 412 0 412
680 433 0 433
690 345 0 345
700 473 0 473
710 365 0 365
720 321 0 321
730 478 0 478
740 532 0 532
750 418 0 418
760 788 0 788
770 883 0 883
780 263 0 263
790 251 0 251
800 494 0 494
810 571 0 571
820 643 0 643
830 457 0 457
840 609 0 609
850 613 0 613
860 641 0 641
870 599 0 599
880 686 0 686
890 699 0 699
900 688 0 688
910 672 0 672
920 702 0 702
930 597 0 597
940 628 0 628
950 637 0 637
960 598 0 598
970 721 0 721
980 597 0 597
990 663 0 663
1000 621 0 621
1010 669 0 669
1020 704 0 704
1030 737 0 737
1040 598 0 598
1050 624 0 624
1060 754 0 754
1070 751 0 751
1080 621 0 621
1090 572 0 572
1100 573 0 573
1110 667 0 667
1120 863 0 863
1130 658 0 658
1140 598 0 598
1150 746 0 746
1160 650 0 650
1170 689 0 689
1180 552 0 552
1190 762 0 762
1200 833 0 833
1210 972 0 972
1220 699 0 699
1230 395 0 395
1240 408 0 408
1250 264 0 264
1260 253 0 253
1270 247 0 247
1280 206 0 206
1290 267 0 267
1300 159 0 159
1310 278 0 278
1320 224 0 224
1330 200 0 200
1340 267 0 267
1350 582 53 635
1360 613 0 613
1370 641 0 641
1380 676 0 676
1390 661 0 661
1400 746 0 746
1410 555 0 555
1420 756 0 756
1430 649 0 649
1440 473 0 473
1450 388 0 388
1460 308 0 308
1470 203 0 203
1480 205 0 205
1490 210 0 210
1500 265 0 265
1510 265 0 265
1520 210 0 210
1530 257 0 257
1540 264 0 264
1550 208 0 208
1560 319 0 319
1570 416 0 416
1580 674 0 674
1590 776 194 970
1600 624 208 832
1610 557 101 658
1620 763 203 967
1630 652 100 752
1640 435 0 435
1650 524 95 619
1660 602 201 802
1670 538 98 636
1680 452 100 552
1690 259 0 259
1700 265 0 265
1710 260 0 260
1720 373 0 373
1730 272 109 380
1740 367 0 367
1750 256 153 409
1760 248 0 248
1770 319 0 319
1780 260 0 260
1790 213 0 213
1800 267 0 267
1810 632 53 685
1820 416 0 416
1830 513 93 606
1840 531 145 676
1850 491 98 589
1860 371 106 477
1870 397 0 397
1880 525 105 629
1890 515 103 618
1900 614 205 818
1910 286 95 382
1920 306 0 306
1930 268 0 268
1940 264 0 264
1950 305 0 305
1960 253 0 253
1970 203 0 203
1980 204 0 204
1990 214 0 214
2000 250 0 250
2010 316 0 316
2020 266 0 266
2030 266 0 266
2040 626 0 626
2050 660 0 660
2060 659 0 659
2070 638 0 638
2080 708 0 708
2090 601 0 601
2100 617 0 617
2110 473 0 473
2120 359 0 359
2130 259 0 259
2140 189 0 189
2150 246 0 246
2160 205 0 205
2170 286 0 286
2180 455 0 455
2190 715 0 715
2200 249 0 249
2210 155 0 155
2220 260 0 260
2230 255 0 255
2240 315 0 315
2250 266 0 266
2260 316 0 316
2270 578 0 578
2280 265 0 265
2290 243 0 243
2300 208 0 208
2310 207 0 207
2320 212 0 212
2330 213 0 213
2340 206 0 206
2350 246 0 246
2360 253 0 253
2370 215 0 215
2380 213 0 213
2390 320 0 320
2400 267 0 267
2410 207 155 362
2420 266 0 266
2430 261 0 261
2440 246 0 246
2450 261 0 261
2460 205 0 205
2470 265 0 265
2480 210 0 210
2490 297 0 297
2500 253 0 253
2510 210 0 210
2520 293 0 293
2530 672 0 672
2540 679 0 679
2550 652 0 652
2560 572 0 572
2570 638 0 638
2580 643 0 643
2590 576 0 576
2600 287 0 287
2610 266 0 266
2620 205 0 205
2630 200 0 200
2640 233 0 233
